name,metascore
ULTIMATE DRUNKEN WARRIOR,tbd
Learn math and sciences,tbd
Produce Wars,tbd
Blood Knights,96
Explodimals 3D,tbd
Hurdle Turtle 2,tbd
Starfighter X (2013),tbd
Battlefield 4,81
Critter Skater,tbd
GRID 2: Spa-Francorchamps Track Pack,tbd
Angry Birds Star Wars,88
WWE 2K14,75
Pac-Man and the Ghostly Adventures,97
Assassin's Creed IV: Black Flag,88
Tune Her Out,tbd
Heart and Mind 2,tbd
English 101,tbd
Dot Wars (2013),tbd
Micromazes,tbd
Lifeless (2013),tbd
Magrunner: Dark Pulse,90
Castlevania: Lords of Shadow - Mirror of Fate,92
Batman: Arkham Origins,76
WRC 4: FIA World Rally Championship,80
Blocks Editor,tbd
Batman: Arkham Origins - Deathstroke Challenge Pack,tbd
Avatar Trials 2: Ninja Redemption,tbd
MULLETMAN,tbd
Halloweenies,tbd
The Plat Master,tbd
Fritter and Waste,tbd
Decay: The Mare - Episode 1,tbd
How to Survive,91
Magic Soccer (2013),tbd
Nickelodeon Teenage Mutant Ninja Turtles,93
LEGO Marvel Super Heroes,80
Deus Ex: Human Revolution - Director's Cut,88
Rocksmith 2014 Edition,87
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,80
Just Dance Kids 2014,tbd
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,80
Nickelodeon Teenage Mutant Ninja Turtles,93
