Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Genre (Giantbomb),ESRB
NINJA GAIDEN: Master Collection,Xbox / PC,Touch Controls,Active,Jun 2022,,17.16,Jun 2021,0.98,72,Action / Compilation,M
Cricket 22,PC,,Active,May 2022,,17.36,Dec 2021,0.48,63,Sports / Cricket,E
Pac-Man Museum+,Xbox / PC,Yes,Active,May 2022,,17.36,May 2022,0.00,64,Compilation / Platformer,E
Sniper Elite 5,Xbox / PC,Yes,Active,May 2022,,17.39,May 2022,0.00,77,Action / Shooter,M
Hardspace: Shipbreaker,Xbox / PC,Yes,Active,May 2022,,17.46,Jun 2020,1.94,82,Simulation,T
Farming Simulator 22,Xbox / PC,Yes,Active,May 2022,,17.62,Nov 2021,0.49,76,Simulation,E
Vampire Survivors,Xbox / PC,Yes,Active,May 2022,,17.62,Dec 2021,0.42,87,Action,E10+
Jurassic World Evolution 2,Xbox / PC,Yes,Active,May 2022,,17.69,Nov 2021,0.52,79,Simulation,T
Little Witch in the Woods (Game Preview),Xbox / PC,Touch Controls,Active,May 2022,,17.69,May 2022,0.00,,Role-Playing,T
NHL 22,Xbox,,Active,May 2022,,17.85,Oct 2021,0.57,74,Sports / Hockey,E10+
Eiyuden Chronicle: Rising,Xbox / PC,Touch Controls,Active,May 2022,,17.92,May 2022,0.00,71,Role-Playing / Action-Adventure,E10+
This War of Mine: Final Cut,Xbox / PC,Touch Controls,Active,May 2022,,17.92,Nov 2014,7.49,81,Strategy / Adventure,M
Citizen Sleeper,Xbox / PC,Touch Controls,Active,May 2022,,18.08,May 2022,0.00,82,Adventure / Role-Playing,T
Fortnite,,Touch Controls,Active,May 2022,,18.08,Jul 2017,4.78,83,Shooter,T
NARAKA: BLADEPOINT,Xbox / PC,Yes,Active,Jun 2022,,16.47,Aug 2021,0.86,71,Action,T
Teenage Mutant Ninja Turtles: Shredder's Revenge,Xbox / PC,Touch Controls,Active,Jun 2022,,16.70,Jun 2022,0.00,86,Brawler,E10+
Loot River,Xbox / PC,Touch Controls,Active,May 2022,,18.15,May 2022,0.00,66,Action,T
7 Days to Die (Game Preview),Xbox / PC,Yes,Active,Apr 2022,,18.38,Dec 2013,8.37,35,Simulation / First-Person Shooter / Action-Adventure / Block-Breaking,M
Research and Destroy,Xbox / PC,Touch Controls,Active,Apr 2022,,18.38,Apr 2022,0.00,73,Strategy / Shooter,T
Lost In Random,Xbox / PC,Touch Controls,Active,Apr 2022,,18.84,Sep 2021,0.59,76,Role-Playing / Card Game / Action-Adventure,E10+
Cricket 22,Xbox / PC,Yes,Active,Apr 2022,,19.07,Dec 2021,0.34,61,Sports / Cricket,E
Norco,Xbox / PC,Yes,Active,Mar 2022,,19.46,Mar 2022,0.00,87,Adventure,M
F1 2021,Xbox,Yes,Active,Mar 2022,,19.46,Jul 2021,0.69,84,Driving/Racing,E
Shredders,Xbox / PC,Yes,Active,Mar 2022,,19.69,Mar 2022,0.00,69,Sports / Snowboarding/Skiing,E
Tunic,Xbox / PC,Yes,Active,Mar 2022,,19.73,Mar 2022,0.00,84,Action-Adventure,E10+
Galactic Civilizations III,PC,,Active,Feb 2022,,20.38,Mar 2014,7.92,81,Strategy,E10+
Super Mega Baseball 3,Xbox / PC,Touch Controls,Active,Feb 2022,,20.38,May 2020,1.79,82,Sports / Baseball,E
Roboquest (2020) (Game Preview),Xbox / PC,,Active,Feb 2022,,20.45,Aug 2020,1.51,,Action / First-Person Shooter,E10+
Madden NFL 22,Xbox / PC,,Active,Feb 2022,,20.61,Aug 2021,0.50,70,Sports / Football,E
Contrast,Xbox,Touch Controls,Active,Feb 2022,,21.07,Nov 2013,8.22,64,Puzzle / Platformer / Action-Adventure,T
Peggle Nights,PC,,Active,Feb 2022,,21.01,Sep 2008,13.39,76,Puzzle / Pinball / Block-Breaking,E
Death’s Door,Xbox / PC,Touch Controls,Active,Jan 2022,,21.53,Jul 2021,0.50,86,Action-Adventure,T
HITMAN Trilogy,Xbox / PC,Touch Controls,Active,Jan 2022,,21.53,Jan 2022,0.00,85,Compilation / Action-Adventure,M
Mass Effect: Legendary Edition,Xbox / PC,Yes,Active,Jan 2022,,21.99,May 2021,0.65,88,Role-Playing / Shooter / Compilation,M
Ben 10: Power Trip,Xbox / PC,Touch Controls,Active,Dec 2021,,22.68,Oct 2020,1.19,67,Brawler / Action-Adventure,E10+
Broken Age,Xbox / PC,Touch Controls,Active,Dec 2021,,22.68,Jan 2014,7.93,77,Adventure,E10+
Mortal Kombat 11,Xbox / PC,Yes,Active,Dec 2021,,22.68,Apr 2019,2.65,84,Fighting,M
PAW Patrol Mighty Pups: Save Adventure Bay,Xbox / PC,Touch Controls,Active,Dec 2021,,22.68,Nov 2020,1.11,65,Action,E
The Gunk,Xbox / PC,Touch Controls,Active,Dec 2021,,22.68,Dec 2021,0.00,68,Puzzle / Action-Adventure,T
Halo: Infinite,Xbox / PC,Yes,Active,Dec 2021,,22.95,Dec 2021,0.00,84,First-Person Shooter,T
